City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,glendive,47.1053,-104.7125,15.98,38,0,10.29,US,1712691699
216,chonchi,-42.6128,-73.8092,13.95,64,93,3.07,CL,1712691807
217,igarka,67.4667,86.5833,-20.55,98,89,4.02,RU,1712691834
218,ponta delgada,37.7333,-25.6667,18.44,94,75,6.69,PT,1712691834
219,motueka,-41.1333,173.0167,18.39,92,75,1.19,NZ,1712691834
220,paradip garh,20.3167,86.6167,27.3,60,84,1.74,IN,1712691834
221,fedorovka,53.6314,62.7078,4.78,89,41,4.58,KZ,1712691834
222,east london,-33.0153,27.9116,19.19,91,100,9.42,ZA,1712691835
223,tutoia,-2.7619,-42.2744,28.27,77,58,4.2,BR,1712691835
224,ancud,-41.8697,-73.8203,12.2,59,57,4.77,CL,1712691835
225,badger,64.8,-147.5333,0.56,61,75,3.09,US,1712691537
226,ndende,-2.4008,11.3581,24.75,96,100,1.02,GA,1712691835
227,coahuayana de hidalgo,18.7,-103.6583,31.01,41,3,3.66,MX,1712691836
228,chibougamau,49.9168,-74.3659,9.79,32,0,3.6,CA,1712691573
229,kavaratti,10.5669,72.642,29.49,65,19,4.24,IN,1712691836
230,sittwe,20.15,92.9,26.7,50,0,4.28,MM,1712691836
231,taltal,-25.4,-70.4833,20.37,72,15,4.22,CL,1712691620
232,flin flon,54.7682,-101.865,12.91,41,40,2.06,CA,1712691837
233,rabak,13.1809,32.74,30.46,7,44,5.82,SD,1712691837
234,tarrafal de sao nicolau,16.5667,-24.3667,22.11,78,1,9.7,CV,1712691837
235,sarmiento,-45.5882,-69.07,12.82,28,0,5.97,AR,1712691838
236,iguape,-24.7081,-47.5553,25.81,80,2,2.8,BR,1712691838
237,pisco,-13.7,-76.2167,27.03,61,0,6.69,PE,1712691812
238,paragominas,-2.9667,-47.4833,26.68,93,100,0.98,BR,1712691838
239,myeik,12.4333,98.6,27.06,83,7,1.65,MM,1712691838
240,siwa oasis,29.2041,25.5195,20.36,40,4,3.96,EG,1712691839
241,beira,-19.8436,34.8389,27.05,89,20,2.57,MZ,1712691712
242,chos malal,-37.3781,-70.2709,18.43,27,100,3.25,AR,1712691839
243,vanino,49.0869,140.2543,-1.15,66,12,3.28,RU,1712691578
244,marat,25.0701,45.4615,21.84,55,13,7.56,SA,1712691839
245,kidal,18.4411,1.4078,33.56,8,13,2.4,ML,1712691840
246,nuku'alofa,-21.1333,-175.2,26.19,89,75,5.14,TO,1712691840
247,sligo,54.2697,-8.4694,7.96,87,75,3.6,IE,1712691840
248,lorengau,-2.0226,147.2712,25.52,94,100,5.7,PG,1712691840
249,nar'yan-mar,67.6713,53.087,-8.27,85,100,2.24,RU,1712691841
250,constantia,44.1833,28.65,11.5,78,0,2.22,RO,1712691551
251,justo daract,-33.8594,-65.1828,25.21,35,0,6.19,AR,1712691843
252,pagar alam,-4.0167,103.2667,21.03,98,100,1.14,ID,1712691844
253,saint-joseph,-21.3667,55.6167,23.21,82,29,3.45,RE,1712691845
254,fale old settlement,-9.3852,-171.2468,30.01,76,100,6.92,TK,1712691846
255,chingirlau,51.095,54.0814,10.52,88,100,2.01,KZ,1712691846
256,wajir,1.7471,40.0573,29.9,66,100,2.3,KE,1712691847
257,muang phon-hong,18.4928,102.4172,23.44,88,100,0.73,LA,1712691848
258,kourou,5.1552,-52.6478,27.03,79,80,3.26,GF,1712691848
259,banda aceh,5.5577,95.3222,27.43,77,100,1.15,ID,1712691848
260,tadine,-21.55,167.8833,25.31,90,85,4.39,NC,1712691849
261,misratah,32.3754,15.0925,18.67,61,100,7.12,LY,1712691623
262,dodge city,37.7528,-100.0171,17.36,38,0,4.63,US,1712691763
263,lamar,33.6668,-95.5836,17.21,93,100,4.12,US,1712691850
264,karacabey,40.2152,28.4038,15.21,90,4,1.14,TR,1712691850
265,san mariano,7.5,126.0,21.81,80,94,1.07,PH,1712691850
266,caleta de carquin,-11.0925,-77.6267,23.96,78,38,4.49,PE,1712691851
267,nadi,-17.8,177.4167,25.0,88,40,1.03,FJ,1712691824
268,atherton,53.5237,-2.4935,9.12,74,0,3.58,GB,1712691852
269,pacanga,-7.1667,-79.5,28.71,54,16,6.97,PE,1712691852
270,nizao,18.25,-70.2,29.15,52,10,8.44,DO,1712691852
271,richards bay,-28.783,32.0377,19.57,81,2,3.08,ZA,1712691852
272,grand baie,-20.0182,57.5802,25.26,89,8,4.52,MU,1712691694
273,ta`u,-14.2336,-169.5144,29.01,80,99,5.0,AS,1712691805
274,saipan,15.1355,145.701,27.39,83,20,6.69,MP,1712691853
275,juneau,58.3019,-134.4197,7.0,89,40,5.14,US,1712691561
276,sao jose da coroa grande,-8.8978,-35.1478,27.36,82,83,3.98,BR,1712691827
277,walvis bay,-22.9575,14.5053,16.53,82,0,2.06,NA,1712691854
278,rio grande,-32.035,-52.0986,28.06,74,59,4.6,BR,1712691686
279,mont-dore,-22.2833,166.5833,27.22,99,65,2.12,NC,1712691854
280,swakopmund,-22.6833,14.5333,16.47,85,11,0.44,NA,1712691855
281,altai,46.3722,96.2583,3.5,30,78,5.74,MN,1712691581
282,cavalaire-sur-mer,43.174,6.5272,15.9,50,1,11.69,FR,1712691855
283,hirara,24.8,125.2833,21.15,73,75,6.69,JP,1712691856
284,praia da vitoria,38.7333,-27.0667,18.14,88,75,10.71,PT,1712691856
285,yung shue wan,22.2333,114.1167,22.68,74,98,0.45,HK,1712691857
286,berea,41.3662,-81.8543,24.91,57,75,5.66,US,1712691594
287,brownwood,31.7093,-98.9912,19.62,77,100,5.14,US,1712691668
288,skrunda,56.6833,22.0167,15.03,85,47,2.3,LV,1712691858
289,plastun,44.7561,136.2939,-1.02,49,0,2.71,RU,1712691858
290,mwene-ditu,-7.0,23.45,20.48,92,91,1.35,CD,1712691859
291,lisala,2.15,21.5167,22.96,88,36,0.71,CD,1712691859
292,puerto baquerizo moreno,-0.9,-89.6,29.55,84,40,6.17,EC,1712691622
293,iwon-up,40.3231,128.6553,2.74,74,34,2.27,KP,1712691589
294,camacupa,-12.0167,17.4833,18.3,92,97,1.18,AO,1712691860
295,alice springs,-23.7,133.8833,14.01,64,1,3.6,AU,1712691860
296,vila franca do campo,37.7167,-25.4333,18.27,99,100,6.08,PT,1712691828
297,hadithah,34.1397,42.3781,22.45,50,19,8.26,IQ,1712691861
298,al 'amarah,31.8406,47.1396,25.27,59,68,4.58,IQ,1712691861
299,beloomut,54.9448,39.3394,17.16,91,93,1.72,RU,1712691862
300,vernon,50.2581,-119.2691,14.57,31,86,5.36,CA,1712691862
301,tuy hoa,13.0833,109.3,24.59,88,85,0.88,VN,1712691863
302,kavieng,-2.5744,150.7967,27.82,81,100,4.32,PG,1712691863
303,coyhaique,-45.5752,-72.0662,10.97,50,20,3.6,CL,1712691546
304,pianco,-7.1981,-37.9292,33.12,42,35,2.7,BR,1712691863
305,lukhovitsy,54.9728,39.0361,17.05,96,99,1.15,RU,1712691864
306,aykhal,66.0,111.5,-5.7,92,100,10.03,RU,1712691864
307,saint-philippe,-21.3585,55.7679,23.77,81,43,4.0,RE,1712691864
308,laojunmiao,39.8333,97.7333,7.28,19,0,2.52,CN,1712691865
309,luena,-11.7833,19.9167,18.27,95,96,0.39,AO,1712691865
310,tateyama,34.9833,139.8667,9.5,63,100,6.04,JP,1712691865
311,strezhevoy,60.7333,77.5889,-10.58,87,89,3.58,RU,1712691802
312,hemsby,52.6971,1.6918,10.23,71,100,11.59,GB,1712691866
313,naigarhi,24.7833,81.7833,26.66,33,53,5.85,IN,1712691866
314,berbera,10.4396,45.0143,28.61,79,60,3.01,SO,1712691866
315,arraial do cabo,-22.9661,-42.0278,28.92,65,75,2.57,BR,1712691649
316,tobelo,1.7284,128.0095,25.8,79,100,0.28,ID,1712691867
317,namibe,-15.1961,12.1522,22.03,74,10,4.17,AO,1712691867
318,langsa,4.4683,97.9683,24.8,94,100,0.39,ID,1712691867
319,priozersk,61.0393,30.1291,3.38,80,37,2.25,RU,1712691868
320,machico,32.7,-16.7667,17.35,67,20,7.72,PT,1712691868
321,manali,13.1667,80.2667,29.05,79,41,2.59,IN,1712691868
322,muravlenko,63.7898,74.523,-22.65,95,6,4.35,RU,1712691869
323,brigantine,39.4101,-74.3646,23.44,55,0,5.14,US,1712691869
324,cristalina,-16.7686,-47.6136,26.15,61,87,1.13,BR,1712691674
325,new norfolk,-42.7826,147.0587,9.28,83,98,1.27,AU,1712691870
326,kone,-21.0595,164.8658,24.97,91,36,2.02,NC,1712691870
327,shimoda,34.6667,138.95,8.95,63,82,7.28,JP,1712691871
328,antsiranana,-12.2787,49.2917,26.05,85,63,5.17,MG,1712691871
329,ciudad nueva,-17.9837,-70.2356,23.54,53,0,4.12,PE,1712691872
330,pelabuhanratu,-6.9875,106.5514,25.96,90,100,1.81,ID,1712691873
331,tchintabaraden,15.8969,5.7985,32.12,14,100,4.06,NE,1712691589
332,smithers,54.7804,-127.1743,7.18,42,20,3.09,CA,1712691666
333,polyarnyy,69.1989,33.4478,-3.38,88,100,1.46,RU,1712691874
334,selfoss,63.9331,-20.9971,3.36,88,100,3.67,IS,1712691867
335,noumea,-22.2763,166.4572,27.22,99,59,1.91,NC,1712691874
336,prince george,53.9166,-122.753,7.38,51,100,5.66,CA,1712691650
337,oeiras do para,-2.0031,-49.8544,28.08,85,68,1.74,BR,1712691875
338,qingdao,36.0986,120.3719,9.78,57,0,5.0,CN,1712691875
339,cam ranh,11.9214,109.1591,27.98,74,40,4.63,VN,1712691876
340,callao,-12.0667,-77.15,25.16,69,0,4.63,PE,1712691790
341,abyek,36.0667,50.55,18.78,33,54,4.48,IR,1712691876
342,miyaly,48.8844,53.7836,15.57,66,98,3.44,KZ,1712691876
343,manokwari,-0.8667,134.0833,25.74,82,89,1.86,ID,1712691877
344,happy valley-goose bay,53.3168,-60.3315,-0.83,51,75,5.66,CA,1712691877
345,iskateley,67.6803,53.1512,-8.32,85,100,2.24,RU,1712691787
346,pacific grove,36.6177,-121.9166,21.87,69,0,4.02,US,1712691878
347,virpur,23.1833,73.4833,29.79,17,83,3.38,IN,1712691879
348,jamsankoski,61.919,25.1701,5.27,99,95,1.61,FI,1712691879
349,ulladulla,-35.35,150.4667,12.04,69,30,6.72,AU,1712691879
350,thunder bay,48.4001,-89.3168,5.99,93,100,2.06,CA,1712691870
351,banket,-17.3833,30.4,20.18,70,95,1.15,ZW,1712691880
352,brookings,44.3114,-96.7984,16.18,54,40,9.77,US,1712691873
353,peruibe,-24.32,-46.9983,25.65,85,14,1.63,BR,1712691803
354,yulinshi,38.2906,109.7494,11.48,70,100,2.03,CN,1712691881
355,zuyevka,58.405,51.1335,1.05,97,85,0.76,RU,1712691882
356,al ghayzah,16.2079,52.176,26.76,72,100,4.21,YE,1712691882
357,sao felix do xingu,-6.6447,-51.995,28.08,81,98,0.6,BR,1712691882
358,wakuya,38.5333,141.1333,2.33,75,0,4.22,JP,1712691883
359,mount pearl,47.5166,-52.7813,0.47,92,100,9.77,CA,1712691883
360,turhal,40.3875,36.0811,11.38,81,100,2.05,TR,1712691884
361,enewetak,11.3474,162.3373,27.3,81,100,9.22,MH,1712691884
